"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"Huber","MSE","equal_tail_95",4,738,2.02039891598916,1.70989369557053,0.989159891598916,0.00542005420054201,2.94519918226217
"Huber","MSE","equal_tail_95",5,739,2.33196211096076,1.94399272390591,0.959404600811908,0.0297699594046008,2.94519918226217
"Huber","MSE","equal_tail_95",6,738,2.74030460704607,2.24359675838343,0.799457994579946,0.188346883468835,2.94519918226217
"Huber","MSE","equal_tail_95",7,738,3.21216775067751,2.68659788542843,0.779132791327913,0.207317073170732,2.94519918226217
"Huber","MSE","equal_tail_95",8,738,3.71855785907859,3.32090213936733,0.808943089430894,0.173441734417344,2.94519918226217
"Huber","MSE","equal_tail_95",9,738,4.6273337398374,4.59228384991908,0.781842818428184,0.191056910569106,2.94519918226217
"Huber","MSE","equal_tail_95",10,739,8.1443201623816,7.56688360720751,0.706359945872801,0.25575101488498,2.94519918226217
"Huber","MSE","abs_residual_95",1,738,1.11788945799458,1.26450618717833,0.974254742547426,0,3.20076451612757
"Huber","MSE","abs_residual_95",2,738,1.56605528455285,1.40786173895471,0.990514905149051,0,3.20076451612757
"Huber","MSE","abs_residual_95",3,738,1.80477628726287,1.53120601899684,0.998644986449865,0,3.20076451612757
"Huber","MSE","abs_residual_95",4,738,2.02039891598916,1.70989369557053,0.993224932249323,0,3.20076451612757
"Huber","MSE","abs_residual_95",5,739,2.33196211096076,1.94399272390591,0.987821380243572,0,3.20076451612757
"Huber","MSE","abs_residual_95",6,738,2.74030460704607,2.24359675838343,0.975609756097561,0.00677506775067751,3.20076451612757
"Huber","MSE","abs_residual_95",7,738,3.21216775067751,2.68659788542843,0.949864498644986,0.0284552845528455,3.20076451612757
"Huber","MSE","abs_residual_95",8,738,3.71855785907859,3.32090213936733,0.922764227642276,0.048780487804878,3.20076451612757
"Huber","MSE","abs_residual_95",9,738,4.6273337398374,4.59228384991908,0.872628726287263,0.0880758807588076,3.20076451612757
"Huber","MSE","abs_residual_95",10,739,8.1443201623816,7.56688360720751,0.774018944519621,0.177266576454668,3.20076451612757
"Huber","MSE","upper_95",1,738,1.11788945799458,1.26450618717833,0.998644986449865,0.0013550135501355,NA
"Huber","MSE","upper_95",2,738,1.56605528455285,1.40786173895471,0.997289972899729,0.002710027100271,NA
"Huber","MSE","upper_95",3,738,1.80477628726287,1.53120601899684,0.96070460704607,0.0392953929539295,NA
"Huber","MSE","upper_95",4,738,2.02039891598916,1.70989369557053,0.875338753387534,0.124661246612466,NA
"Huber","MSE","upper_95",5,739,2.33196211096076,1.94399272390591,0.650879566982409,0.349120433017591,NA
"Huber","MSE","upper_95",6,738,2.74030460704607,2.24359675838343,0.546070460704607,0.453929539295393,NA
"Huber","MSE","upper_95",7,738,3.21216775067751,2.68659788542843,0.578590785907859,0.421409214092141,NA
"Huber","MSE","upper_95",8,738,3.71855785907859,3.32090213936733,0.489159891598916,0.510840108401084,NA
"Huber","MSE","upper_95",9,738,4.6273337398374,4.59228384991908,0.697831978319783,0.302168021680217,NA
"Huber","MSE","upper_95",10,739,8.1443201623816,7.56688360720751,0.683355886332882,0.316644113667118,NA
"L1","MSE","equal_tail_95",1,738,1.11788945799458,1.29555535316047,0.964769647696477,0,2.76539586210566
"L1","MSE","equal_tail_95",2,738,1.56605528455285,1.46606964770454,0.990514905149051,0,2.76539586210566
"L1","MSE","equal_tail_95",3,738,1.80477628726287,1.60718770617715,0.993224932249323,0.00542005420054201,2.76539586210566
"L1","MSE","equal_tail_95",4,738,2.02039891598916,1.80070851333868,0.989159891598916,0.0040650406504065,2.76539586210566
"L1","MSE","equal_tail_95",5,739,2.33196211096076,2.05599089707678,0.975642760487145,0.0121786197564276,2.76539586210566
"L1","MSE","equal_tail_95",6,738,2.74030460704607,2.37178466897164,0.952574525745257,0.0284552845528455,2.76539586210566
"L1","MSE","equal_tail_95",7,738,3.21216775067751,2.79639201236211,0.895663956639566,0.0867208672086721,2.76539586210566
"L1","MSE","equal_tail_95",8,738,3.71855785907859,3.38240685813849,0.872628726287263,0.10840108401084,2.76539586210566
"L1","MSE","equal_tail_95",9,738,4.6273337398374,4.49482736952304,0.822493224932249,0.154471544715447,2.76539586210566
"L1","MSE","equal_tail_95",10,739,8.1443201623816,6.97598204042537,0.634641407307172,0.342354533152909,2.76539586210566
"L1","MSE","abs_residual_95",1,738,1.11788945799458,1.29555535316047,0.953929539295393,0,2.85376190463875
