"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,2,"Huber",3,100,70902.81,115254.847402995,0.62553285833093,709.0281,1152.54847402995
1,2,"Huber",4,100,108532.24,113023.367402685,0.0413805833426513,1085.3224,1130.23367402685
1,2,"Huber",5,100,115052.28,116110.142644605,0.00919462564849338,1150.5228,1161.10142644606
1,2,"Huber",6,100,118844.61,114360.872721061,-0.0377277293344591,1188.4461,1143.60872721061
1,2,"Huber",7,100,122846.47,115299.863976735,-0.0614311996369509,1228.4647,1152.99863976735
1,2,"Huber",8,100,153642.53,119799.64205792,-0.220270311495653,1536.4253,1197.9964205792
1,2,"Huber",9,100,244323.07,116064.476780258,-0.52495490180171,2443.2307,1160.64476780258
1,2,"Huber",10,100,2634867.47,120933.208820542,-0.954102735641371,26348.6747,1209.33208820542
1,2,"L1",1,100,9250.61,117808.407858571,11.7352042577269,92.5061,1178.08407858571
1,2,"L1",2,100,37846.04,118356.521214512,2.12731586222791,378.4604,1183.56521214512
1,2,"L1",3,100,70902.81,117075.085540684,0.65120515732287,709.0281,1170.75085540684
1,2,"L1",4,100,108532.24,116619.631703971,0.0745160304806327,1085.3224,1166.19631703971
1,2,"L1",5,100,115052.28,117697.780036703,0.0229938949206665,1150.5228,1176.97780036703
1,2,"L1",6,100,118844.61,117200.313602502,-0.0138356833978235,1188.4461,1172.00313602502
1,2,"L1",7,100,122846.47,118136.528089079,-0.0383400671661208,1228.4647,1181.36528089079
1,2,"L1",8,100,153642.53,118350.298726689,-0.229703528530224,1536.4253,1183.50298726689
1,2,"L1",9,100,244323.07,117523.889941872,-0.518981609301684,2443.2307,1175.23889941872
1,2,"L1",10,100,2634867.47,118946.83541763,-0.95485661545716,26348.6747,1189.4683541763
1,4,"PMM-auto",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,4,"PMM-auto",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,4,"PMM-auto",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,4,"PMM-auto",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,4,"PMM-auto",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,4,"PMM-auto",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,4,"PMM-auto",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,4,"PMM-auto",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,4,"PMM-auto",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,4,"PMM-auto",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,4,"PMM-relaxed",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,4,"PMM-relaxed",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,4,"PMM-relaxed",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,4,"PMM-relaxed",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,4,"PMM-relaxed",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,4,"PMM-relaxed",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,4,"PMM-relaxed",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
