"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
2,1,"Huber",TRUE,1.00576844821908,1721.4111833615,-1231.66537522651,-0.520004489646005,0.520004489646005,0.55,12363.469596546,-12363.469596546,-0.914071581347873,0.914071581347873,1,0,3,FALSE,FALSE,FALSE
2,1,"L1",TRUE,1.00557880373837,1706.26348711368,-1185.438668199,-0.500487747778161,0.500487747778161,0.529,12326.5540416733,-12326.5540416733,-0.911342294123494,0.911342294123494,1,0,3,FALSE,FALSE,FALSE
2,2,"PMM-auto",TRUE,1.00025496159005,2295.02318455377,-36.0503348592903,-0.0152203158074687,0.0152203158074687,0.208,11062.8194123223,-11050.8902400604,-0.817028313787885,0.817028313787885,0.98,0.277777777777778,3,TRUE,FALSE,TRUE
2,2,"PMM-relaxed",TRUE,1.00025496159005,2295.02318455377,-36.0503348592903,-0.0152203158074687,0.0152203158074687,0.208,11062.8194123223,-11050.8902400604,-0.817028313787885,0.817028313787885,0.98,0.277777777777778,3,TRUE,FALSE,TRUE
2,2,"LSE",TRUE,1.01096917163276,2432.51594214064,7.79683324152388,0.00329179367396781,0.00329179367396781,0.213,11341.2822082185,-11324.4938207782,-0.837256717775634,0.837256717775634,0.99,0,3,FALSE,TRUE,FALSE
2,2,"Huber",TRUE,1.0056257125768,1719.5844680898,-1234.32609435659,-0.521127835256879,0.521127835256879,0.548,12363.8542254158,-12363.8542254158,-0.914100018213145,0.914100018213145,1,0,3,FALSE,FALSE,FALSE
2,2,"L1",TRUE,1.00557880373837,1706.26348711368,-1185.438668199,-0.500487747778161,0.500487747778161,0.529,12326.5540416733,-12326.5540416733,-0.911342294123494,0.911342294123494,1,0,3,FALSE,FALSE,FALSE
2,4,"PMM-auto",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,4,"PMM-relaxed",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,4,"LSE",TRUE,1.00461607430366,2387.81787679554,-1.76390606977781,-0.000744714509353095,0.000744714509353095,0.207,11225.9784618221,-11171.7115975659,-0.825961030324556,0.825961030324556,0.97,0,3,FALSE,TRUE,FALSE
2,4,"Huber",TRUE,1.0056257125768,1719.5844680898,-1234.32609435659,-0.521127835256879,0.521127835256879,0.548,12363.8542254158,-12363.8542254158,-0.914100018213145,0.914100018213145,1,0,3,FALSE,FALSE,FALSE
2,4,"L1",TRUE,1.00555663369323,1709.73998550267,-1184.53666280859,-0.500106924494391,0.500106924494391,0.527,12323.0386449962,-12323.0386449962,-0.911082389395735,0.911082389395735,1,0,3,FALSE,FALSE,FALSE
2,8,"PMM-auto",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,8,"PMM-relaxed",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,8,"LSE",TRUE,1.00056437489002,2319.1160651078,-5.29734196422344,-0.00223651785622137,0.00223651785622137,0.201,11029.306429289,-11015.0872668515,-0.814381283350158,0.814381283350158,0.97,0,3,FALSE,TRUE,FALSE
2,8,"Huber",TRUE,1.0056257125768,1719.5844680898,-1234.32609435659,-0.521127835256879,0.521127835256879,0.548,12363.8542254158,-12363.8542254158,-0.914100018213145,0.914100018213145,1,0,3,FALSE,FALSE,FALSE
2,8,"L1",TRUE,1.00555663369323,1709.73998550267,-1184.53666280859,-0.500106924494391,0.500106924494391,0.527,12323.0386449962,-12323.0386449962,-0.911082389395735,0.911082389395735,1,0,3,FALSE,FALSE,FALSE
2,16,"PMM-auto",TRUE,0.997310326727916,2280.47981184894,-34.7019173345731,-0.0146510189993614,0.0146510189993614,0.214,10987.0717979558,-10976.6218782347,-0.811537411868484,0.811537411868484,0.98,0.277777777777778,3,TRUE,FALSE,TRUE
2,16,"PMM-relaxed",TRUE,0.997310326727916,2280.47981184894,-34.7019173345731,-0.0146510189993614,0.0146510189993614,0.214,10987.0717979558,-10976.6218782347,-0.811537411868484,0.811537411868484,0.98,0.277777777777778,3,TRUE,FALSE,TRUE
2,16,"LSE",TRUE,1.00056437489002,2319.1160651078,-5.29734196422344,-0.00223651785622137,0.00223651785622137,0.201,11029.306429289,-11015.0872668515,-0.814381283350158,0.814381283350158,0.97,0,3,FALSE,TRUE,FALSE
2,16,"Huber",TRUE,1.0056257125768,1719.5844680898,-1234.32609435659,-0.521127835256879,0.521127835256879,0.548,12363.8542254158,-12363.8542254158,-0.914100018213145,0.914100018213145,1,0,3,FALSE,FALSE,FALSE
2,16,"L1",TRUE,1.00552870054706,1708.29780585443,-1189.73188806194,-0.502300329059301,0.502300329059301,0.518,12331.7041316549,-12331.7041316549,-0.911723057052281,0.911723057052281,1,0,3,FALSE,FALSE,FALSE
3,1,"PMM-auto",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,1,"PMM-relaxed",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,1,"LSE",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,1,"Huber",TRUE,1.00567886891727,2142.61863052385,-1638.88012348134,-0.587704159514299,0.587704159514299,0.532,16819.419615649,-16819.419615649,-0.933565275637806,0.933565275637806,1,0,3,TRUE,FALSE,FALSE
3,1,"L1",TRUE,1.0058386277091,2131.89349827634,-1605.29959069091,-0.575662144654954,0.575662144654954,0.494,16840.150630331,-16840.150630331,-0.93471595478596,0.93471595478596,1,0,3,FALSE,FALSE,FALSE
